,Datum (YYYY=jaar MM=maand DD=dag),Duur van de neerslag (in 0.1 uur)
  240,20181101,   35
  240,20181102,   36
  240,20181103,    0
  240,20181104,    0
  240,20181105,    0
  240,20181106,    0
  240,20181107,   10
  240,20181108,    0
  240,20181109,    0
  240,20181110,   64
  240,20181111,   17
  240,20181112,   39
  240,20181113,    0
  240,20181114,    0
  240,20181115,    0
  240,20181116,    0
  240,20181117,    0
  240,20181118,    0
  240,20181119,    3
  240,20181120,    0
